numano,nummes,datemissao,txnomeparlamentar,sgpartido,sguf,txtdescricao,txtcnpjcpf,txtfornecedor,vlrdocumento,vlrglosa,vlrliquido
2018,5,2018-05-07 00:00:00+00:00,HÉLIO LEITE,DEM,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,06964144000144,Heiss Táxi Aéreo,3500.00,0.00,3500.00
2018,5,2018-05-07 00:00:00+00:00,ANÍBAL GOMES,DEM,CE,LOCAÇÃO OU FRETAMENTO DE AERONAVES,13087728000144,SOLAR TAXI AEREO LTDA,7220.00,0.00,7220.00
2018,5,2018-05-07 00:00:00+00:00,DANILO FORTE,PSDB,CE,LOCAÇÃO OU FRETAMENTO DE AERONAVES,01274847000127,TERRAL TAXI AEREO LTDA - EPP,11000.00,0.00,11000.00
2018,5,2018-05-07 00:00:00+00:00,ÁTILA LINS,PP,AM,LOCAÇÃO OU FRETAMENTO DE AERONAVES,02324940000161,MANAUS AEROTAXI PARTICIPACOES LTDA,4800.00,0.00,4800.00
2018,4,2018-05-04 00:00:00+00:00,THIAGO PEIXOTO,PSD,GO,LOCAÇÃO OU FRETAMENTO DE AERONAVES,02088938000130,SETE TAXI AEREO LTDA,5250.00,0.00,5250.00
2018,5,2018-05-03 00:00:00+00:00,GORETE PEREIRA,PR,CE,LOCAÇÃO OU FRETAMENTO DE AERONAVES,13087728000144,SOLAR TAXI AEREO LTDA,6000.00,0.00,6000.00
2018,4,2018-05-03 00:00:00+00:00,PAUDERNEY AVELINO,DEM,AM,LOCAÇÃO OU FRETAMENTO DE AERONAVES,03090756000167,AMAZONAVES TAXI AEREO LTDA,5000.00,0.00,5000.00
2018,4,2018-05-03 00:00:00+00:00,RODRIGO MARTINS,PSB,PI,LOCAÇÃO OU FRETAMENTO DE AERONAVES,03003930000197,CEARA TAXI AEREO LTDA,7920.00,0.00,7920.00
2018,5,2018-05-02 00:00:00+00:00,GIACOBO,PR,PR,LOCAÇÃO OU FRETAMENTO DE AERONAVES,75543611000185,HELISUL TAXI AEREO LTDA,16500.00,0.00,16500.00
2018,4,2018-05-02 00:00:00+00:00,PAES LANDIM,PTB,PI,LOCAÇÃO OU FRETAMENTO DE AERONAVES,03003930000197,CEARA TAXI AEREO LTDA,21510.00,0.00,21510.00
2018,4,2018-05-01 00:00:00+00:00,MÁRIO HERINGER,PDT,MG,LOCAÇÃO OU FRETAMENTO DE AERONAVES,21762770000141,EXECUTIVE AVIATION SERVIÇOS EM AVIAÇÃO LTDA.-ME,11951.00,0.00,11951.00
2018,4,2018-04-30 00:00:00+00:00,WLADIMIR COSTA,SD,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,06964144000144,Heiss Táxi Aéreo,3000.00,0.00,3000.00
2018,4,2018-04-30 00:00:00+00:00,WLADIMIR COSTA,SD,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,06964144000144,Heiss Táxi Aéreo,8000.00,0.00,8000.00
2018,4,2018-04-27 00:00:00+00:00,NILSON PINTO,PSDB,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,10626900000100,SANTAREM TAXI AREO LTDA,5000.00,0.00,5000.00
2018,4,2018-04-26 00:00:00+00:00,HÉLIO LEITE,DEM,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,06964144000144,HEISS TAXI AEREO LTDA,7500.00,0.00,7500.00
2018,4,2018-04-26 00:00:00+00:00,VALTENIR PEREIRA,MDB,MT,LOCAÇÃO OU FRETAMENTO DE AERONAVES,***83531***,Leandro Levinali Ecco,26775.00,0.00,26775.00
2018,4,2018-04-26 00:00:00+00:00,HÉLIO LEITE,DEM,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,06964144000144,HEISS TAXI AEREO LTDA,7000.00,0.00,7000.00
